subset,rtype,n_reactions,L1_mae,L1_median,L1_max,L1_n,L3_mae,L3_median,L3_max,L3_n,floor_would_bind,floor_binds_levels,runtime_tau_L1,runtime_tau_L3
ACONF,conformer,15,0.1929,0.2428,0.493,15,0.0654,0.0497,0.1804,15,True,"['L1', 'L3']",1.2125,0.4052
Amino20x4,conformer,80,0.9539,0.7164,4.4089,80,0.2351,0.1741,1.243,80,False,[],1.2125,0.4052
CDIE20,conformer,20,1.8017,1.5695,4.4055,20,1.0786,1.0416,2.1243,20,False,[],1.2125,0.4052
ICONF,conformer,17,1.6291,1.6613,4.2765,17,0.328,0.2495,0.7929,17,False,[],1.2125,0.4052
ISO34,isomer,34,6.9019,7.0888,21.6354,34,1.9489,1.4482,10.3094,34,False,[],9.0358,3.4069
ISOL24,isomer,23,12.1902,8.0106,29.4316,23,5.5623,3.4846,19.2518,23,False,[],9.0358,3.4069
PCONF21,conformer,18,1.7572,1.7718,4.2438,18,0.5369,0.5141,1.0352,18,False,[],1.2125,0.4052
SCONF,conformer,17,1.6429,1.1208,7.2403,17,0.651,0.5303,2.7521,17,False,[],1.2125,0.4052
